sort,sgg_cd,odscd,obsmm
FR,41250,1023660,파주시(비룡대교)
FR,41800,1023660,파주시(비룡대교)
FR,42170,1302668,동해시(북평교)
FR,42230,1303680,삼척시(오십천교)
FR,42720,1014650,홍천군(홍천교)
FR,42750,1002685,영월군(주천교)
FR,42760,1002695,영월군(북쌍리)
FR,42780,1022626,철원군(장수대교)
FR,42800,1010640,양구군(각시교)
FR,42810,1012650,인제군(원대교)
FR,42830,1301658,양양군(양양대교)
FR,43150,1002695,영월군(북쌍리)
FR,43740,3004690,영동군(양강교)
FR,45730,3003680,무주군(취수장)
FR,46730,4009610,구례군(구례교)
FR,47170,2002692,안동시(포진교)
FR,47760,2002692,안동시(포진교)
FR,47920,2001630,봉화군(임기리)
FR,48250,2020615,함안군(계내리)
FR,48860,2018645,산청군(경호교)
FR,48870,2018620,함양군(용평리)
Ar,42150,4215010007,오봉저수지
Ar,44810,4481010021,예당저수지
Ar,45190,4519010159,동화저수지
Ar,45740,4519010159,동화저수지
Ar,45750,4519010159,동화저수지
Ar,45770,4519010159,동화저수지
Ar,46720,4519010159,동화저수지
Ar,48880,4888010186,상천저수지
Dam,11000,1003110,충주
Dam,26000,2001110,안동
Dam,26710,2001110,안동
Dam,27000,2001110,안동
Dam,27710,2001110,안동
Dam,28000,1003110,충주
Dam,28710,1003110,충주
Dam,28720,1012110,소양강
Dam,29000,4007110,주암(본)
Dam,30000,3008110,대청
Dam,31000,2201220,사연
Dam,36110,3008110,대청
Dam,41110,1012110,소양강
Dam,41130,1003110,충주
Dam,41150,1012110,소양강
Dam,41170,1012110,소양강
Dam,41190,1012110,소양강
Dam,41210,1003110,충주
Dam,41220,1012110,소양강
Dam,41270,1003110,충주
Dam,41280,1012110,소양강
Dam,41290,1003110,충주
Dam,41310,1003110,충주
Dam,41360,1012110,소양강
Dam,41370,1012110,소양강
Dam,41390,1012110,소양강
Dam,41410,1012110,소양강
Dam,41430,1012110,소양강
Dam,41450,1012110,소양강
Dam,41460,1012110,소양강
Dam,41480,1003110,충주
Dam,41500,1003110,충주
Dam,41550,1003110,충주
Dam,41570,1003110,충주
Dam,41590,1012110,소양강
Dam,41610,1012110,소양강
Dam,41630,1012110,소양강
Dam,41650,1012110,소양강
Dam,41670,1003110,충주
Dam,41820,1012110,소양강
Dam,41830,1012110,소양강
Dam,42110,1012110,소양강
Dam,42130,1006110,횡성
Dam,42190,1001210,광동
Dam,42730,1006110,횡성
Dam,42770,1001210,광동
Dam,43110,3008110,대청
Dam,43130,1003110,충주
Dam,43730,3008110,대청
Dam,43745,1003110,충주
Dam,43750,1003110,충주
Dam,43760,1003110,충주
Dam,43770,1003110,충주
Dam,43800,1003110,충주
Dam,44130,3008110,대청
Dam,44150,3008110,대청
Dam,44180,3203110_3203310,보령
Dam,44200,3008110,대청
Dam,44210,3203110_3203310,보령
Dam,44230,3008110,대청
Dam,44250,3008110,대청
Dam,44270,3008110,대청
Dam,44710,3001110,용담
Dam,44760,3008110,대청
Dam,44770,3001110,용담
Dam,44790,3008110,대청
Dam,44800,3203110_3203310,보령
Dam,44825,3203110_3203310,보령
Dam,45110,3001110,용담
Dam,45130,3001110,용담
Dam,45140,3001110,용담
Dam,45180,4001110,섬진강
Dam,45210,3001110,용담
Dam,45710,3001110,용담
Dam,45720,3001110,용담
Dam,45790,3303110,부안
Dam,45800,3303110,부안
Dam,46110,5101110,장흥
Dam,46130,4007110,주암(본)
Dam,46150,4007110,주암(본)
Dam,46170,4007110,주암(본)
Dam,46230,4105210,수어
Dam,46710,5002201,평림
Dam,46770,4007110,주암(본)
Dam,46780,4007110,주암(본)
Dam,46790,4007110,주암(본)
Dam,46800,5101110,장흥
Dam,46810,5101110,장흥
Dam,46820,5101110,장흥
Dam,46840,5101110,장흥
Dam,46860,4007110,주암(본)
Dam,46880,5002201,평림
Dam,46890,5101110,장흥
Dam,46900,5101110,장흥
Dam,46910,5101110,장흥
Dam,47110,2012210,영천
Dam,47130,2002110,임하
Dam,47150,2002110,임하
Dam,47190,2002110,임하
Dam,47230,2012210,영천
Dam,47250,2002110,임하
Dam,47290,2021210,운문
Dam,47750,2002110,임하
Dam,47820,2021210,운문
Dam,47830,2001110,안동
Dam,47840,2001110,안동
Dam,47850,2001110,안동
Dam,47900,2002110,임하
Dam,48120,2015110,합천
Dam,48170,2018110,남강
Dam,48220,2018110,남강
Dam,48240,2018110,남강
Dam,48270,2021110,밀양
Dam,48310,2018110,남강
Dam,48330,2021110,밀양
Dam,48720,2015110,합천
Dam,48730,2015110,합천
Dam,48740,2021110,밀양
Dam,48820,2018110,남강
Dam,48840,2018110,남강
Dam,48850,2018110,남강
Dam,48890,2015110,합천
